event_id;user_id;event_date
1;4;01.01.2026
2;7;04.01.2026
3;10;04.01.2026
4;14;05.01.2026
5;16;05.01.2026
6;17;06.01.2026
7;18;03.01.2026
8;31;03.01.2026
9;37;06.01.2026
10;39;01.01.2026
11;45;07.01.2026
12;49;03.01.2026
13;50;07.01.2026
14;57;02.01.2026
15;65;04.01.2026
16;66;01.01.2026
17;69;07.01.2026
18;79;03.01.2026
19;90;06.01.2026
20;95;04.01.2026
21;98;04.01.2026
22;99;02.01.2026
23;100;06.01.2026
24;101;05.01.2026
25;102;01.01.2026
26;103;01.01.2026
27;110;01.01.2026
28;113;05.01.2026
29;119;04.01.2026
30;122;01.01.2026
31;125;07.01.2026
32;127;04.01.2026
33;136;01.01.2026
34;139;01.01.2026
35;143;05.01.2026
36;144;02.01.2026
37;158;03.01.2026
38;170;04.01.2026
39;178;01.01.2026
40;180;03.01.2026
41;181;06.01.2026
42;193;06.01.2026
43;195;04.01.2026
44;203;01.01.2026
45;205;02.01.2026
46;207;06.01.2026
47;210;03.01.2026
48;220;04.01.2026
49;227;03.01.2026
50;229;05.01.2026
51;232;06.01.2026
52;242;06.01.2026
53;245;03.01.2026
54;247;01.01.2026
55;248;03.01.2026
56;256;03.01.2026
57;258;05.01.2026
58;260;03.01.2026
59;262;03.01.2026
60;266;01.01.2026
61;268;06.01.2026
62;273;06.01.2026
63;293;04.01.2026
64;301;01.01.2026
65;317;01.01.2026
66;319;02.01.2026
67;329;03.01.2026
68;335;07.01.2026
69;337;02.01.2026
70;349;01.01.2026
71;356;04.01.2026
72;361;05.01.2026
73;362;02.01.2026
74;365;04.01.2026
75;374;01.01.2026
76;386;02.01.2026
77;399;05.01.2026
78;404;06.01.2026
79;410;07.01.2026
80;415;06.01.2026
81;417;04.01.2026
82;418;01.01.2026
83;422;03.01.2026
84;429;02.01.2026
85;433;02.01.2026
86;434;01.01.2026
87;439;07.01.2026
88;450;04.01.2026
89;453;04.01.2026
90;459;04.01.2026
91;466;06.01.2026
92;470;06.01.2026
93;477;07.01.2026
94;483;06.01.2026
95;488;06.01.2026
96;489;07.01.2026
97;498;05.01.2026
98;512;05.01.2026
99;513;07.01.2026
100;514;05.01.2026
101;518;03.01.2026
102;524;07.01.2026
103;529;07.01.2026
104;546;05.01.2026
105;552;06.01.2026
106;556;03.01.2026
107;566;01.01.2026
108;569;06.01.2026
109;570;05.01.2026
110;584;05.01.2026
111;589;01.01.2026
112;592;03.01.2026
113;598;06.01.2026
114;601;02.01.2026
115;605;01.01.2026
116;625;01.01.2026
117;627;03.01.2026
118;630;06.01.2026
119;632;06.01.2026
120;634;02.01.2026
121;636;03.01.2026
122;638;03.01.2026
123;642;03.01.2026
124;651;01.01.2026
125;657;07.01.2026
126;662;03.01.2026
127;666;05.01.2026
128;672;05.01.2026
129;675;02.01.2026
130;682;07.01.2026
131;685;02.01.2026
132;688;01.01.2026
133;694;02.01.2026
134;700;02.01.2026
135;709;07.01.2026
136;712;06.01.2026
137;719;02.01.2026
138;724;01.01.2026
139;727;03.01.2026
140;728;03.01.2026
141;729;07.01.2026
142;730;03.01.2026
143;740;03.01.2026
144;741;01.01.2026
145;742;06.01.2026
146;747;07.01.2026
147;755;02.01.2026
148;758;02.01.2026
149;760;01.01.2026
150;761;07.01.2026
151;770;05.01.2026
152;785;07.01.2026
153;786;05.01.2026
154;787;06.01.2026
155;791;05.01.2026
156;795;03.01.2026
157;798;02.01.2026
158;801;05.01.2026
159;805;02.01.2026
160;811;01.01.2026
161;814;04.01.2026
162;825;03.01.2026
163;831;04.01.2026
164;835;05.01.2026
165;848;03.01.2026
166;850;04.01.2026
167;870;07.01.2026
168;872;05.01.2026
169;873;06.01.2026
170;883;01.01.2026
171;885;05.01.2026
172;888;04.01.2026
173;889;05.01.2026
174;890;05.01.2026
175;896;05.01.2026
176;899;05.01.2026
177;905;03.01.2026
178;906;03.01.2026
179;909;04.01.2026
180;910;07.01.2026
181;911;03.01.2026
182;916;05.01.2026
183;921;02.01.2026
184;923;01.01.2026
185;931;02.01.2026
186;943;07.01.2026
187;947;04.01.2026
188;951;03.01.2026
189;954;01.01.2026
190;957;03.01.2026
191;964;04.01.2026
192;968;03.01.2026
193;969;03.01.2026
194;976;01.01.2026
195;980;06.01.2026
196;988;03.01.2026
197;990;07.01.2026
198;996;07.01.2026
199;1005;06.01.2026
200;1006;03.01.2026
201;1012;04.01.2026
202;1013;04.01.2026
203;1015;02.01.2026
204;1016;07.01.2026
205;1018;05.01.2026
206;1019;03.01.2026
207;1020;07.01.2026
208;1032;06.01.2026
209;1035;01.01.2026
210;1041;07.01.2026
211;1042;07.01.2026
212;1043;05.01.2026
213;1048;02.01.2026
214;1051;04.01.2026
215;1054;05.01.2026
216;1061;05.01.2026
217;1062;02.01.2026
218;1066;04.01.2026
219;1068;04.01.2026
220;1072;02.01.2026
221;1073;01.01.2026
222;1076;04.01.2026
223;1077;01.01.2026
224;1082;04.01.2026
225;1084;05.01.2026
226;1092;03.01.2026
227;1095;07.01.2026
228;1096;04.01.2026
229;1099;07.01.2026
230;1105;07.01.2026
231;1108;02.01.2026
232;1111;07.01.2026
233;1118;02.01.2026
234;1120;01.01.2026
235;1126;04.01.2026
236;1128;05.01.2026
237;1129;04.01.2026
238;1132;06.01.2026
239;1134;05.01.2026
240;1139;01.01.2026
241;1143;06.01.2026
242;1154;05.01.2026
243;1156;04.01.2026
244;1158;05.01.2026
245;1162;04.01.2026
246;1163;03.01.2026
247;1165;04.01.2026
248;1172;07.01.2026
249;1176;07.01.2026
250;1177;02.01.2026
251;1187;02.01.2026
252;1193;02.01.2026
253;1194;03.01.2026
254;1195;04.01.2026
255;1199;06.01.2026
256;1204;02.01.2026
257;1206;03.01.2026
258;1210;01.01.2026
259;1212;05.01.2026
260;1216;06.01.2026
261;1217;04.01.2026
262;1221;03.01.2026
263;1223;03.01.2026
264;1227;01.01.2026
265;1232;06.01.2026
266;1235;07.01.2026
267;1236;06.01.2026
268;1244;07.01.2026
269;1247;01.01.2026
270;1253;04.01.2026
271;1256;04.01.2026
272;1259;01.01.2026
273;1262;01.01.2026
274;1264;05.01.2026
275;1266;06.01.2026
276;1270;06.01.2026
277;1273;04.01.2026
278;1278;02.01.2026
279;1280;05.01.2026
280;1281;03.01.2026
281;1282;07.01.2026
282;1286;02.01.2026
283;1295;07.01.2026
284;1297;01.01.2026
285;1299;04.01.2026
286;1304;06.01.2026
287;1307;01.01.2026
288;1311;01.01.2026
289;1320;02.01.2026
290;1324;02.01.2026
291;1327;01.01.2026
292;1332;02.01.2026
293;1335;02.01.2026
294;1338;01.01.2026
295;1346;06.01.2026
296;1349;02.01.2026
297;1350;06.01.2026
298;1351;07.01.2026
299;1363;04.01.2026
300;1371;07.01.2026
301;1374;07.01.2026
302;1376;06.01.2026
303;1378;07.01.2026
304;1386;03.01.2026
305;1396;02.01.2026
306;1400;07.01.2026
307;1401;02.01.2026
308;1408;05.01.2026
309;1409;06.01.2026
310;1410;04.01.2026
311;1420;01.01.2026
312;1426;04.01.2026
313;1434;05.01.2026
314;1435;02.01.2026
315;1437;06.01.2026
316;1442;04.01.2026
317;1444;01.01.2026
318;1449;05.01.2026
319;1450;05.01.2026
320;1452;03.01.2026
321;1455;01.01.2026
322;1457;06.01.2026
323;1462;06.01.2026
324;1466;05.01.2026
325;1470;07.01.2026
326;1473;03.01.2026
327;1487;01.01.2026
328;1490;06.01.2026
329;1491;01.01.2026
330;1494;05.01.2026
331;1499;03.01.2026
332;1501;01.01.2026
333;1504;02.01.2026
334;1505;02.01.2026
335;1506;06.01.2026
336;1509;06.01.2026
337;1514;02.01.2026
338;1515;04.01.2026
339;1519;03.01.2026
340;1522;03.01.2026
341;1525;06.01.2026
342;1527;05.01.2026
343;1540;05.01.2026
344;1541;04.01.2026
345;1544;05.01.2026
346;1547;02.01.2026
347;1549;02.01.2026
348;1559;07.01.2026
349;1564;04.01.2026
350;1565;02.01.2026
351;1569;01.01.2026
352;1572;05.01.2026
353;1573;05.01.2026
354;1580;05.01.2026
355;1584;05.01.2026
356;1589;03.01.2026
357;1602;05.01.2026
358;1606;04.01.2026
359;1607;01.01.2026
360;1608;03.01.2026
361;1612;07.01.2026
362;1613;04.01.2026
363;1629;07.01.2026
364;1644;04.01.2026
365;1647;03.01.2026
366;1648;04.01.2026
367;1651;06.01.2026
368;1652;06.01.2026
369;1653;02.01.2026
370;1656;07.01.2026
371;1663;07.01.2026
372;1666;06.01.2026
373;1667;04.01.2026
374;1677;04.01.2026
375;1681;07.01.2026
376;1683;07.01.2026
377;1684;07.01.2026
378;1688;03.01.2026
379;1692;06.01.2026
380;1696;03.01.2026
381;1703;04.01.2026
382;1705;03.01.2026
383;1707;03.01.2026
384;1712;07.01.2026
385;1714;04.01.2026
386;1720;05.01.2026
387;1728;07.01.2026
388;1731;03.01.2026
389;1738;03.01.2026
390;1740;01.01.2026
391;1744;06.01.2026
392;1749;05.01.2026
393;1757;07.01.2026
394;1758;05.01.2026
395;1766;05.01.2026
396;1772;07.01.2026
397;1777;02.01.2026
398;1780;01.01.2026
399;1781;07.01.2026
400;1783;03.01.2026
401;1788;07.01.2026
402;1793;07.01.2026
403;1795;01.01.2026
404;1796;07.01.2026
405;1801;07.01.2026
406;1806;02.01.2026
407;1807;01.01.2026
408;1809;05.01.2026
409;1815;05.01.2026
410;1817;05.01.2026
411;1822;01.01.2026
412;1827;05.01.2026
413;1829;06.01.2026
414;1830;07.01.2026
415;1850;04.01.2026
416;1853;06.01.2026
417;1856;03.01.2026
418;1860;06.01.2026
419;1861;04.01.2026
420;1865;02.01.2026
421;1866;07.01.2026
422;1870;07.01.2026
423;1873;03.01.2026
424;1876;02.01.2026
425;1881;06.01.2026
426;1885;06.01.2026
427;1899;05.01.2026
428;1905;03.01.2026
429;1906;07.01.2026
430;1910;02.01.2026
431;1913;07.01.2026
432;1919;03.01.2026
433;1926;02.01.2026
434;1928;06.01.2026
435;1933;02.01.2026
436;1938;06.01.2026
437;1950;03.01.2026
438;1956;07.01.2026
439;1960;04.01.2026
440;1966;03.01.2026
441;1970;01.01.2026
442;1973;07.01.2026
443;1975;05.01.2026
444;1979;01.01.2026
445;1980;03.01.2026
446;1984;02.01.2026
447;1985;05.01.2026
448;1987;03.01.2026
449;1994;04.01.2026
450;2001;04.01.2026
451;2002;07.01.2026
452;2010;06.01.2026
453;2014;07.01.2026
454;2015;01.01.2026
455;2017;06.01.2026
456;2022;02.01.2026
457;2030;04.01.2026
458;2031;06.01.2026
459;2033;07.01.2026
460;2034;04.01.2026
461;2039;03.01.2026
462;2042;04.01.2026
463;2043;06.01.2026
464;2048;07.01.2026
465;2052;04.01.2026
466;2056;01.01.2026
467;2057;04.01.2026
468;2062;07.01.2026
469;2065;07.01.2026
470;2066;05.01.2026
471;2067;06.01.2026
472;2069;02.01.2026
473;2073;01.01.2026
474;2074;03.01.2026
475;2086;02.01.2026
476;2088;07.01.2026
477;2093;02.01.2026
478;2099;01.01.2026
479;2104;02.01.2026
480;2106;04.01.2026
481;2107;03.01.2026
482;2108;02.01.2026
483;2109;02.01.2026
484;2110;07.01.2026
485;2111;07.01.2026
486;2112;06.01.2026
487;2119;06.01.2026
488;2121;03.01.2026
489;2122;06.01.2026
490;2123;04.01.2026
491;2125;01.01.2026
492;2132;07.01.2026
493;2133;05.01.2026
494;2134;02.01.2026
495;2139;07.01.2026
496;2141;06.01.2026
497;2144;05.01.2026
498;2146;03.01.2026
499;2150;03.01.2026
500;2151;02.01.2026
501;2155;05.01.2026
502;2164;07.01.2026
503;2166;01.01.2026
504;2167;02.01.2026
505;2168;04.01.2026
506;2170;03.01.2026
507;2171;06.01.2026
508;2172;07.01.2026
509;2174;06.01.2026
510;2175;02.01.2026
511;2176;01.01.2026
512;2177;02.01.2026
513;2180;03.01.2026
514;2184;06.01.2026
515;2187;06.01.2026
516;2188;04.01.2026
517;2189;06.01.2026
518;2193;05.01.2026
519;2196;05.01.2026
520;2202;06.01.2026
521;2204;04.01.2026
522;2210;05.01.2026
523;2212;05.01.2026
524;2213;02.01.2026
525;2214;01.01.2026
526;2215;01.01.2026
527;2222;01.01.2026
528;2229;03.01.2026
529;2230;02.01.2026
530;2242;07.01.2026
531;2255;02.01.2026
532;2257;02.01.2026
533;2258;07.01.2026
534;2259;04.01.2026
535;2261;01.01.2026
536;2263;04.01.2026
537;2264;04.01.2026
538;2267;04.01.2026
539;2268;03.01.2026
540;2276;01.01.2026
541;2280;04.01.2026
542;2282;03.01.2026
543;2284;01.01.2026
544;2289;07.01.2026
545;2293;04.01.2026
546;2295;06.01.2026
547;2299;07.01.2026
548;2302;05.01.2026
549;2307;01.01.2026
550;2309;04.01.2026
551;2312;06.01.2026
552;2314;01.01.2026
553;2316;06.01.2026
554;2317;07.01.2026
555;2327;01.01.2026
556;2328;06.01.2026
557;2333;04.01.2026
558;2334;04.01.2026
559;2336;03.01.2026
560;2337;06.01.2026
561;2341;07.01.2026
562;2342;02.01.2026
563;2344;04.01.2026
564;2345;01.01.2026
565;2350;02.01.2026
566;2353;06.01.2026
567;2354;01.01.2026
568;2357;04.01.2026
569;2358;07.01.2026
570;2364;03.01.2026
571;2365;03.01.2026
572;2366;02.01.2026
573;2368;06.01.2026
574;2369;05.01.2026
575;2372;02.01.2026
576;2373;01.01.2026
577;2375;05.01.2026
578;2379;05.01.2026
579;2381;05.01.2026
580;2385;04.01.2026
581;2389;07.01.2026
582;2390;04.01.2026
583;2391;03.01.2026
584;2392;06.01.2026
585;2399;05.01.2026
586;2400;03.01.2026
587;2401;03.01.2026
588;2403;07.01.2026
589;2404;01.01.2026
590;2408;07.01.2026
591;2411;06.01.2026
592;2412;03.01.2026
593;2413;07.01.2026
594;2415;06.01.2026
595;2417;02.01.2026
596;2419;01.01.2026
597;2422;03.01.2026
598;2427;04.01.2026
599;2431;06.01.2026
600;2432;03.01.2026
601;2434;01.01.2026
602;2439;01.01.2026
603;2440;06.01.2026
604;2444;05.01.2026
605;2445;01.01.2026
606;2457;04.01.2026
607;2461;07.01.2026
608;2467;02.01.2026
609;2473;07.01.2026
610;2477;06.01.2026
611;2478;01.01.2026
612;2482;03.01.2026
613;2483;03.01.2026
614;2486;03.01.2026
615;2487;05.01.2026
616;2489;02.01.2026
617;2491;03.01.2026
618;2493;01.01.2026
619;2494;02.01.2026
620;2498;07.01.2026
621;2508;02.01.2026
622;2513;03.01.2026
623;2517;07.01.2026
624;2518;04.01.2026
625;2520;01.01.2026
626;2521;02.01.2026
627;2529;07.01.2026
628;2530;07.01.2026
629;2531;07.01.2026
630;2532;06.01.2026
631;2533;05.01.2026
632;2539;07.01.2026
633;2545;05.01.2026
634;2549;03.01.2026
635;2550;01.01.2026
636;2554;02.01.2026
637;2555;01.01.2026
638;2563;07.01.2026
639;2566;05.01.2026
640;2571;06.01.2026
641;2574;06.01.2026
642;2577;04.01.2026
